1;Tomaten
2;Baguette
3;Sahne
4;Brühwürfel
5;Zwiebel
6;Paprika
7;Knoblauch
8;Chili
9;Kidneybohnen
10;Goldmais
11;Tomaten passiert
12;Reis
13;Hackfleisch
14;Hamburgerbrötchen
15;Salatkopf
16;Gewürzgurken
17;Mozarella
18;Cheddar
19;Ei
20;Maggi
21;Milchreis
22;Milch
23;Zucker
24;Hähnchenbrustfilet
25;Fettucine (Nudeln)
26;Weißwein
